Report Date,Email Date,Seq,Order#,LNo,Order Date,Customer,PO No,Item#,Description,Bal Qty,Avail Qty,Amount,WO Tracker,Priority,Item Type,Due Date
2026-03-27,2026-03-20,1,314053,1,01/22,Barbee Engineered Testing Systems,PO02124,DAQ-CART-ASSY-00,"CART DATA ACQUISITION - ASSEMBLY",5,0,6435.00,750865,100,S/M,2026-03-11
2026-03-27,2026-03-20,2,314024,2,01/07,Barbee Engineered Testing Systems,PO02095,TF72-GPL-UPR-ASSY-00,"TF-72IN GAUGE PANEL UPPER STD CONFIG",3,0,2862.00,750526,100,S/M,2026-03-11
2026-03-27,2026-03-20,3,314024,1,01/07,Barbee Engineered Testing Systems,PO02095,TF72-CAB-STD-ASSY-01,"TF-72IN CABINET ASSY STANDARD",3,0,16626.00,750525,100,S/M,2026-03-11
2026-03-27,2026-03-20,4,314023,1,01/07,Barbee Engineered Testing Systems,PO02094,H5-SS-FR_SHLD_00,"H5000 S-SERIES CABINET FRAME W/ SHIELDS",1,0,5193.00,750524,100,S/M,2026-03-11
2026-03-27,2026-03-20,5,314021,1,01/07,Barbee Engineered Testing Systems,PO02092,HSC-4500-ASSY-00,"HSC-4500 HYDROSTATIC TESTER",1,0,12500.00,750513,100,S/M,2026-03-11
2026-03-27,2026-03-20,6,314054,1,01/22,Barbee Engineered Testing Systems,PO02126,TF-SHIELD,"SHIELD FOR TF CABINET W/ POLYCARBONATE POWDERCOAT BK62",3,0,4692.00,750866,100,S/M,2026-03-11
2026-03-27,2026-03-20,7,314024,3,01/07,Barbee Engineered Testing Systems,PO02095,TF72-GP-LWR-00,"TF-72IN GAUGE PANEL LOWER STD CONFIG",3,3,1227.00,,100,S/M,2026-03-11
2026-03-27,2026-03-20,8,314024,4,01/07,Barbee Engineered Testing Systems,PO02095,P3VRSPX-00,"P300-VR-SPX STAINLESS CABINET",5,0,18450.00,750528,100,S/M,2026-03-11
2026-03-27,2026-03-20,9,314095,1,02/18,Smith International LLC,4584874851,50507,"MACH: RETAINER FLANGE SEGMENTED SUBSTRATE KGA30 3LUG",2,0,170.44,,100,S/M,2026-03-11
2026-03-27,2026-03-20,10,313315,2,11/22,Siemens Mobility Inc.,4511833006_LINE-020,9900192011,"BRACKET A2 SIGN",50,0,1615.00,750092,100,S/M,2026-03-12
2026-03-27,2026-03-20,11,314020,1,01/07,Barbee Engineered Testing Systems,PO02091,P100-05,"1 INCH HALF HOOPS FOR P100 SERIES",100,0,3800.00,750512,100,S/M,2026-03-13
2026-03-27,2026-03-20,12,314120,7,03/13,Switch Ltd.,79370-LAS16,40817,"SCREW HEX HEAD 1/4-20 3/4IN LONG GRADE5 STEEL QTY:5000",1437,8671,258.66,,100,HARDWARE,2026-03-13
2026-03-27,2026-03-20,13,314120,6,03/13,Switch Ltd.,79370-LAS16,40743,"LOCKNUT ZINC 1/2-13 GRADE5 QTY:1000",877,3568,350.80,,100,HARDWARE,2026-03-13
2026-03-27,2026-03-20,15,314090,1,02/17,Smith International LLC,4584840428,11099409,"KGF20 FABRICATED SUBSTRATE",60,0,11292.00,750972,100,S/M,2026-03-16
2026-03-27,2026-03-20,16,313807,2,07/15,Switch Ltd.,73955-FramesLAS17,4001-100-99_FRAMES,"DOOR FRAME WLDMT",80,0,59360.00,751169,100,S/M,2026-03-17
2026-03-27,2026-03-20,17,313791,1,07/15,Switch Ltd.,73911-FramesATL06,4001-100-99_FRAMES,"DOOR FRAME WLDMT",80,0,59360.00,751168,100,S/M,2026-03-17
2026-03-27,2026-03-20,18,314097,2,02/19,Switch Ltd.,78749-GRR02,4002-107-03,"END PANEL COVER VERT BOTTOM",32,0,1099.20,751036,100,SUB-ASSEMBLIES,2026-03-18
2026-03-27,2026-03-20,19,314097,1,02/19,Switch Ltd.,78749-GRR02,4005-301-03,"DRIP TRAY END CAP",2,0,236.90,751033,100,S/M,2026-03-18
2026-03-27,2026-03-20,20,314097,3,02/19,Switch Ltd.,78749-GRR02,4005-106-01,"POWER CONVEYANCE PANEL",47,0,3546.15,751034,100,S/M,2026-03-18
2026-03-27,2026-03-20,25,313791,2,07/15,Switch Ltd.,73911-FramesATL06,4001-100-99_FRAMES,"DOOR FRAME WLDMT",80,0,59360.00,751171,100,S/M,2026-03-23
2026-03-27,2026-03-20,26,313807,4,07/15,Switch Ltd.,73955-FramesLAS17,4001-100-99_FRAMES,"DOOR FRAME WLDMT",80,0,59360.00,751172,100,S/M,2026-03-23
2026-03-27,2026-03-20,27,312864,9,04/24,Siemens Mobility Inc.,4511432806_LINE-070,A2V000030-18876,"PERFORATED PLATE",20,0,2967.00,751070,100,S/M,2026-03-23
2026-03-27,2026-03-20,28,314085,1,02/10,Switch Ltd.,78467-ATL04,4003-501-99,"CATCH BASIN DROP ASSEMBLY",56,0,7596.40,750964,100,S/M,2026-03-23
2026-03-27,2026-03-20,29,313815,3,07/15,Mizuho OSI,4500078268,ND0458,"Caster Hana Table",325,1445,100360.00,,100,M/S,2026-03-24
2026-03-27,2026-03-20,30,313972,1,11/04,Mizuho OSI,5500003994,6875-401,"TOP PLATE WELDMENT",10,0,5661.90,750107,100,M/S,2026-03-24
2026-03-27,2026-03-20,31,313971,7,11/04,Mizuho OSI,5500003993,6875-23,"Hana Column And Base Assembly",10,0,79673.20,750106,100,M/S,2026-03-24
2026-03-27,2026-03-20,32,313788,18,07/15,Switch Ltd.,73910-DoorRTATL05,4001-110-99,"DOOR PANEL ASM RIGHT",60,0,41340.00,751128,100,S/M,2026-03-24
2026-03-27,2026-03-20,33,314080,1,02/10,Switch Ltd.,78405-LAS18,4003-501-99,"CATCH BASIN DROP ASSEMBLY",28,0,3798.20,750949,100,S/M,2026-03-24
2026-03-27,2026-03-20,34,314038,1,01/08,Switch Ltd.,77705-ContainLAS17,4004-158-99,"CHAMBER CONTAINMENT PANEL ASM GEN2",60,40,21429.00,750533,100,S/M,2026-03-24
2026-03-27,2026-03-20,35,313788,17,07/15,Switch Ltd.,73910-DoorRTATL05,4001-110-99,"DOOR PANEL ASM RIGHT",60,0,41340.00,749658,100,S/M,2026-03-24
2026-03-27,2026-03-20,36,313789,18,07/15,Switch Ltd.,73910-DoorLTATL05,4001-115-99,"DOOR PANEL ASM LEFT",60,0,41340.00,750720,100,S/M,2026-03-24
2026-03-27,2026-03-20,37,313789,17,07/15,Switch Ltd.,73910-DoorLTATL05,4001-115-99,"DOOR PANEL ASM LEFT",60,0,41340.00,749675,100,S/M,2026-03-24
2026-03-27,2026-03-20,38,314101,1,02/23,True Fab and Powder,1620,TFP_1.5SQ_304SS_TUBE,"CUT SHIP SST 304 TUBE",1,0,824.36,751024,100,S/M,2026-03-24
2026-03-27,2026-03-20,39,314121,1,03/18,Future Form Manufacturing,,FG-ENGINEERING-MISC,"5-AXIS MILL GUARDRAILS",2,20,0.00,751202,100,S/M,2026-03-25
2026-03-27,2026-03-20,40,314114,1,03/06,Smith International LLC,4584896577,51716,"MACH: SUBSTRATE",36,0,1244.16,751061,100,S/M,2026-03-25
2026-03-27,2026-03-20,42,314027,1,01/08,Switch Ltd.,77673,300486-W,"FOOT WHITE & BLACK PAINT",6,0,13680.00,,100,S/M,2026-03-25
2026-03-27,2026-03-20,43,314029,2,01/08,Switch Ltd.,77668,FREIGHT-NI,"FREIGHT - NI",1,0,650.00,,100,Misc,2026-03-25
2026-03-27,2026-03-20,44,314028,2,01/08,Switch Ltd.,77666,FREIGHT-NI,"FREIGHT - NI",1,0,650.00,,100,Misc,2026-03-25
2026-03-27,2026-03-20,45,314028,1,01/08,Switch Ltd.,77666,300486-W,"SWITCH DESK 6 FOOT WHITE & BLACK PAINT",6,0,13680.00,750530,100,S/M,2026-03-25
2026-03-27,2026-03-20,46,314027,2,01/08,Switch Ltd.,77673,FREIGHT-NI,"FREIGHT - NI",1,0,650.00,,100,Misc,2026-03-25
2026-03-27,2026-03-20,47,313788,19,07/15,Switch Ltd.,73910-DoorRTATL05,4001-110-99,"DOOR PANEL ASM RIGHT",60,0,41340.00,751129,100,S/M,2026-03-25
2026-03-27,2026-03-20,48,313789,19,07/15,Switch Ltd.,73910-DoorLTATL05,4001-115-99,"DOOR PANEL ASM LEFT",60,0,41340.00,751149,100,S/M,2026-03-25
2026-03-27,2026-03-20,49,312859,5,04/24,Siemens Mobility Inc.,4511432806_LINE-020,A2V000030-40333,"PERFORATED PLATE",5,1,178.00,751198,100,S/M,2026-03-26
2026-03-27,2026-03-20,50,312824,11,04/15,Siemens Mobility Inc.,4511419078,A2V000030-18877,"PERFORATED PLATE",9,0,1518.48,750641,100,S/M,2026-03-26
2026-03-27,2026-03-20,51,312827,7,04/15,Siemens Mobility Inc.,4511419080,A2V000030-18877,"PERFORATED PLATE",9,0,1518.48,750641,100,S/M,2026-03-26
2026-03-27,2026-03-20,52,312824,2,04/15,Siemens Mobility Inc.,4511419078,A2V000030-18550,"PERFORATED PLATE",9,0,1589.22,750642,100,S/M,2026-03-26
2026-03-27,2026-03-20,53,314099,1,02/23,Switch Ltd.,78817-RNO02,300182_C_HAIR,"CHAIR BRACKET",100,0,1447.00,751011,100,S/M,2026-03-26
